VERBOS COM O KANJI,PORTUGUES,INGLES,VERBOS SEM O KANJI(ます),RADICAL,GRUPO,DIC,NEG(ない),IMP(て),PRET(た),VOLITI (QUERER OU DESEJAR),CAUS (DEIXE_ME ...),FORMATOCAUSATIVO,IMPERATIVA/PROIBITIVA,NEGで,CONDICIONAL(SE ....),POSSO ....,DEVE SER FEITO,TER EXPERIÊNCIA,"V-ME (FAÇA-ME,COMPRE-ME,...)"
泳ぎます,nadar,to swim,およぎます,およぎ,（１）,およぐ,およがない,およいで,およいだ,およご,およがせます,（FORMA - ない）せます,およげ,およがないで,およげば,およいでもいです（か）,およがないと（いけない）,およいだことがある？（ます（か））,およいできて
下ろすます　「おかねを～」,retirar (dinheiro),to withdraw (money),おろします,おろし,（１）,おろす,おろさない,おろして,おろした,おろそ,おろさせます,（FORMA - ない）せます,おろせ,おろさないで,おろせば,おろしてもいです（か）,おろさないと（いけない）,おろしたことがある？（ます（か））,おろしてきて
終わります,terminar,to finish,おわります,おわり,（１）,おわる,おわらない,おわって,おわった,おわろ,おわらせます,（FORMA - ない）せます,おわれ,おわらないで,おわれば,おわってもいです（か）,おわらないと（いけない）,おわったことがある？（ます（か））,おわってきて
買います,comprar,to buy,かいます,かい,（１）,かう,かうない,かって,かった,かお,かうせます,（FORMA - ない）せます,かえ,かうないで,かえば,かってもいです（か）,かうないと（いけない）,かったことがある？（ます（か））,かってきて
返します,devolver,to return (something),かえします,かえし,（１）,かえす,かえさない,かえして,かえした,かえそ,かえさせます,（FORMA - ない）せます,かえせ,かえさないで,かえせば,かえしてもいです（か）,かえさないと（いけない）,かえしたことがある？（ます（か））,かえしてきて
帰ります,voltar (para casa),to return (home),かえります,かえり,（１）,かえる,かえらない,かえって,かえった,かえろ,かえらせます,（FORMA - ない）せます,かえれ,かえらないで,かえれば,かえってもいです（か）,かえらないと（いけない）,かえったことがある？（ます（か））,かえってきて
かかります,"levar (tempo, dinheiro)",to take (time/money),かかります,かかり,（１）,かかる,かからない,かかって,かかった,かかろ,かからせます,（FORMA - ない）せます,かかれ,かからないで,かかれば,かかってもいです（か）,かからないと（いけない）,かかったことがある？（ます（か））,かかってきて
書きます,escrever,to write,かきます,かき,（１）,かく,かがない,かいて,かいた,かこ,かがせます,（FORMA - ない）せます,かけ,かがないで,かけば,かいてもいです（か）,かがないと（いけない）,かいたことがある？（ます（か））,かいてきて
貸します,emprestar,to lend,かします,かし,（１）,かす,かさない,かして,かした,かそ,かさせます,（FORMA - ない）せます,かせ,かさないで,かせば,かしてもいです（か）,かさないと（いけない）,かしたことがある？（ます（か））,かしてきて
勝ちます,vencer,to win,かちます,かち,（１）,かつ,かたない,かって,かった,かと,かたせます,（FORMA - ない）せます,かて,かたないで,かてば,かってもいです（か）,かたないと（いけない）,かったことがある？（ます（か））,かってきて
かぶります,usar (chapéu),to wear (a hat),かぶります,かぶり,（１）,かぶる,かぶらない,かぶって,かぶった,かぶろ,かぶらせます,（FORMA - ない）せます,かぶれ,かぶらないで,かぶれば,かぶってもいです（か）,かぶらないと（いけない）,かぶったことがある？（ます（か））,かぶってきて
頑張ります,esforçar-se,to do one's best,がんばります,がんばり,（１）,がんばる,がんばらない,がんばって,がんばった,がんばろ,がんばらせます,（FORMA - ない）せます,がんべ,がんばらないで,がんべば,がんばってもいです（か）,がんばらないと（いけない）,がんばったことがある？（ます（か））,がんばってきて
聞きます,ouvir,to listen,ききます,きき,（１）,きく,きかない,きいて,きいた,きこ,きかせます,（FORMA - ない）せます,きけ,きかないで,きけば,きいてもいです（か）,きかないと（いけない）,きいたことがある？（ます（か））,きいてきて
聞きます「せんせいに」,perguntar (ao professor),to ask (a teacher),ききます,きき,（１）,きく,きかない,きいて,きいた,きこ,きかせます,（FORMA - ない）せます,きけ,きかないで,きけば,きいてもいです（か）,きかないと（いけない）,きいたことがある？（ます（か））,きいてきて
切ります,cortar,to cut,きります,きり,（１）,きる,きらない,きって,きった,きろ,きらせます,（FORMA - ない）せます,きれ,きらないで,きれば,きってもいです（か）,きらないと（いけない）,きったことがある？（ます（か））,きってきて
消します,apagar,to erase / turn off,けします,けし,（１）,けす,けさない,けして,けした,けそ,けさせます,（FORMA - ない）せます,けせ,けさないで,けせば,けしてもいです（か）,けさないと（いけない）,けしたことがある？（ます（か））,けしてきて
触ります　「ドアに～」,tocar (em algo),to touch (something),さわります,さわり,（１）,さわる,さわらない,さわって,さわった,さわろ,さわらせます,（FORMA - ない）せます,さわれ,さわらないで,さわれば,さわってもいです（か）,さわらないと（いけない）,さわったことがある？（ます（か））,さわってきて
知ります,saber / conhecer,to know,しります,しり,（１）,しる,しらない,しって,しった,しろ,しらせます,（FORMA - ない）せます,しれ,しらないで,しれば,しってもいです（か）,しらないと（いけない）,しったことがある？（ます（か））,しってきて
吸います　「たばこを～」,fumar (cigarro),to smoke,すいます,すい,（１）,すう,すわらない,すって,すった,すお,すわらせます,（FORMA - ない）せます,すえ,すわらないで,すえば,すってもいです（か）,すわらないと（いけない）,すったことがある？（ます（か））,すってきて
住みます,morar,to live,すみます,すみ,（１）,すむ,すまない,すんで,すんだ,すも,すませます,（FORMA - ない）せます,すめ,すまないで,すめば,すんでもいです（か）,すまないと（いけない）,すんだことがある？（ます（か））,すんできて
座ります,sentar-se,to sit,すわります,すわり,（１）,すわる,すわらない,すわって,すわった,すわろ,すわらせます,（FORMA - ない）せます,すわれ,すわらないで,すわれば,すわってもいです（か）,すわらないと（いけない）,すわったことがある？（ます（か））,すわってきて
出します,enviar / colocar para fora,to send / put out,だします,だし,（１）,だす,ださない,だして,だした,だそ,ださせます,（FORMA - ない）せます,だせ,ださないで,だせば,だしてもいです（か）,ださないと（いけない）,だしたことがある？（ます（か））,だしてきて
立ちます,ficar de pé,to stand up,たちます,たち,（１）,たつ,たたない,たって,たった,たと,たたせます,（FORMA - ない）せます,たて,たたないで,たてば,たってもいです（か）,たたないと（いけない）,たったことがある？（ます（か））,たってきて
使います,usar,to use,つかいます,つかい,（１）,つかう,つかわない,つかって,つかった,つかお,つかわせます,（FORMA - ない）せます,つかえ,つかわないで,つかえば,つかってもいです（か）,つかわないと（いけない）,つかったことがある？（ます（か））,つかってきて
着きます,chegar,to arrive,つきます,つき,（１）,つく,つかない,ついて,ついた,つこ,つかせます,（FORMA - ない）せます,つけます,つかないで,つけますば,ついてもいです（か）,つかないと（いけない）,ついたことがある？（ます（か））,ついてきて
作ります,fazer / construir,to make / build,つくります,つくり,（１）,つくる,つくらない,つくって,つくった,つくろ,つくらせます,（FORMA - ない）せます,つくれ,つくらないで,つくれば,つくってもいです（か）,つくらないと（いけない）,つくったことがある？（ます（か））,つくってきて
造ります,fabricar,to manufacture,つくります,つくり,（１）,つくる,つくらない,つくって,つくった,つくろ,つくらせます,（FORMA - ない）せます,つくれ,つくらないで,つくれば,つくってもいです（か）,つくらないと（いけない）,つくったことがある？（ます（か））,つくってきて
連れています,estar acompanhado,to be accompanied,つれていきます,つれていき,（１）,つれていく,つれていかない,つれていって,つれていった,つれていこ,つれていかせます,（FORMA - ない）せます,つれていけ,つれていかないで,つれていけば,つれていってもいです（か）,つれていかないと（いけない）,つれていったことがある？（ます（か））,つれていってきて
手伝います,ajudar,to help,てつだいます,てつだい,（１）,てつだう,てつだわない,てつだって,てつだった,てつだお,てつだわせます,（FORMA - ない）せます,てつだえ,てつだわないで,てつだえば,てつだってもいです（か）,てつだわないと（いけない）,てつだったことがある？（ます（か））,てつだってきて
泊まります「ホテルに」,hospedar-se (no hotel),to stay (at a hotel),とまります,とまり,（１）,とまる,とまらない,とまって,とまった,とまろ,とまらせます,（FORMA - ない）せます,とまれ,とまらないで,とまれば,とまってもいです（か）,とまらないと（いけない）,とまったことがある？（ます（か））,とまってきて
取ります,pegar,to take,とります,とり,（１）,とる,とらない,とって,とった,とろ,とらせます,（FORMA - ない）せます,とれ,とらないで,とれば,とってもいです（か）,とらないと（いけない）,とったことがある？（ます（か））,とってきて
撮ります「しゃしんを～」,tirar (foto),to take (a photo),とります,とり,（１）,とる,とらない,とって,とった,とろ,とらせます,（FORMA - ない）せます,とれ,とらないで,とれば,とってもいです（か）,とらないと（いけない）,とったことがある？（ます（か））,とってきて
取ります　「としを～」,envelhecer,to get old,とります,とり,（１）,とる,とらない,とって,とった,とろ,とらせます,（FORMA - ない）せます,とれ,とらないで,とれば,とってもいです（か）,とらないと（いけない）,とったことがある？（ます（か））,とってきて
直します,consertar,to fix,なおします,なおし,（１）,なおす,なおさない,なおして,なおした,なおそ,なおさせます,（FORMA - ない）せます,なおせ,なおさないで,なおせば,なおしてもいです（か）,なおさないと（いけない）,なおしたことがある？（ます（か））,なおしてきて
なくします,perder,to lose,なくします,なくし,（１）,なくす,なくさない,なくして,なくした,なくそ,なくさせます,（FORMA - ない）せます,なくせ,なくさないで,なくせば,なくしてもいです（か）,なくさないと（いけない）,なくしたことがある？（ます（か））,なくしてきて
習います,aprender,to learn,ならいます,ならい,（１）,ならう,ならわない,ならって,ならった,ならお,ならわせます,（FORMA - ない）せます,ならえ,ならわないで,ならえば,ならってもいです（か）,ならわないと（いけない）,ならったことがある？（ます（か））,ならってきて
なります,tornar-se,to become,なります,なり,（１）,なる,ならない,なって,なった,なろ,ならせます,（FORMA - ない）せます,なれ,ならないで,なれば,なってもいです（か）,ならないと（いけない）,なったことがある？（ます（か））,なってきて
脱ぎます,tirar (roupa),to take off (clothes),ぬぎます,ぬぎ,（１）,ぬぐ,ぬがない,ぬいで,ぬいだ,ぬご,ぬがせます,（FORMA - ない）せます,ぬげ,ぬがないで,ぬげば,ぬいでもいです（か）,ぬがないと（いけない）,ぬいだことがある？（ます（か））,ぬいできて
登ります,escalar,to climb,のぼります,のぼり,（１）,のぼる,のぼらない,のぼって,のぼった,のぼろ,のぼらせます,（FORMA - ない）せます,のぼれ,のぼらないで,のぼれば,のぼってもいです（か）,のぼらないと（いけない）,のぼったことがある？（ます（か））,のぼってきて
上ります,subir,to go up,のぼります,のぼり,（１）,のぼる,のぼらない,のぼって,のぼった,のぼろ,のぼらせます,（FORMA - ない）せます,のぼれ,のぼらないで,のぼれば,のぼってもいです（か）,のぼらないと（いけない）,のぼったことがある？（ます（か））,のぼってきて
飲みます,beber,to drink,のみます,のみ,（１）,のむ,のまない,のんで,のんだ,のも,のませます,（FORMA - ない）せます,のめ,のまないで,のめば,のんでもいです（か）,のまないと（いけない）,のんだことがある？（ます（か））,のんできて
飲みます　「くすりを～」,tomar (remédio),to take (medicine),のみます,のみ,（１）,のむ,のまない,のんで,のんだ,のも,のませます,（FORMA - ない）せます,のめ,のまないで,のめば,のんでもいです（か）,のまないと（いけない）,のんだことがある？（ます（か））,のんできて
乗ります　「でんしゃに～」,embarcar (no trem),to get on (a train),のります,のり,（１）,のる,のらない,のって,のった,のろ,のらせます,（FORMA - ない）せます,のめ,のらないで,のめば,のってもいです（か）,のらないと（いけない）,のったことがある？（ます（か））,のってきて
入ります　「きっさてんに～」,entrar (na cafeteria),to enter (a café),はいります,はいり,（１）,はいる,はいらない,はいって,はいった,はいろ,はいらせます,（FORMA - ない）せます,はいれ,はいらないで,はいれば,はいってもいです（か）,はいらないと（いけない）,はいったことがある？（ます（か））,はいってきて
入ります　「だいがくに～」,entrar (na universidade),to enter (a university),はいります,はいり,（１）,はいる,はいらない,はいって,はいった,はいろ,はいらせます,（FORMA - ない）せます,はいれ,はいらないで,はいれば,はいってもいです（か）,はいらないと（いけない）,はいったことがある？（ます（か））,はいってきて
入ります　「おふろに～」,entrar (no banho),to enter (a bath),はいります,はいり,（１）,はいる,はいらない,はいって,はいった,はいろ,はいらせます,（FORMA - ない）せます,はいれ,はいらないで,はいれば,はいってもいです（か）,はいらないと（いけない）,はいったことがある？（ます（か））,はいってきて
はきます,calçar / vestir (parte inferior),to wear (lower body),はきます,はき,（１）,はく,はかない,はいて,はいた,はこ,はかせます,（FORMA - ない）せます,はけ,はかないで,はけば,はいてもいです（か）,はかないと（いけない）,はいたことがある？（ます（か））,はいてきて
働きます,trabalhar,to work,はたらきます,はたらき,（１）,はたらく,はたらかない,はたらいて,はたらいた,はたらこ,はたらかせます,（FORMA - ない）せます,はたらけ,はたらかないで,はたらけば,はたらいてもいです（か）,はたらかないと（いけない）,はたらいたことがある？（ます（か））,はたらいてきて
話します,falar,to speak,はなします,はなし,（１）,はなす,はなさない,はなして,はなした,はなそ,はなさせます,（FORMA - ない）せます,はなせ,はなさないで,はなせば,はなしてもいです（か）,はなさないと（いけない）,はなしたことがある？（ます（か））,はなしてきて
払います,pagar,to pay,はらいます,はらい,（１）,はらう,はらわない,はらって,はらった,はらお,はらわせます,（FORMA - ない）せます,はらえ,はらわないで,はらえば,はらってもいです（か）,はらわないと（いけない）,はらったことがある？（ます（か））,はらってきて
弾きます,tocar (instrumento),to play (instrument),ひきます,ひき,（１）,ひく,ひかない,ひいて,ひいた,ひこ,ひかせます,（FORMA - ない）せます,ひけ,ひかないで,ひけば,ひいてもいです（か）,ひかないと（いけない）,ひいたことがある？（ます（か））,ひいてきて
引きます,puxar,to pull,ひきます,ひき,（１）,ひく,ひかない,ひいて,ひいた,ひこ,ひかせます,（FORMA - ない）せます,ひけ,ひかないで,ひけば,ひいてもいです（か）,ひかないと（いけない）,ひいたことがある？（ます（か））,ひいてきて
降ります　「あめが～」,chover,to rain,ふります,ふり,（１）,ふる,ふらない,ふって,ふった,ふろ,ふらせます,（FORMA - ない）せます,ふれ,ふらないで,ふれば,ふってもいです（か）,ふらないと（いけない）,ふったことがある？（ます（か））,ふってきて
曲がりまづ「みぎへ～」,virar (à direita),to turn (right),まがります,まがり,（１）,まがる,まがらない,まがって,まがった,まがろ,まがらせます,（FORMA - ない）せます,まがれ,まがらないで,まがれば,まがってもいです（か）,まがらないと（いけない）,まがったことがある？（ます（か））,まがってきて
待ちます,esperar,to wait,まちます,まち,（１）,まつ,またない,まって,まった,まと,またせます,（FORMA - ない）せます,まて,またないで,まてば,まってもいです（か）,またないと（いけない）,まったことがある？（ます（か））,まってきて
回します,girar,to turn (something),まわします,まわし,（１）,まわす,まわさない,まわして,まわした,まわそ,まわさせます,（FORMA - ない）せます,まわせ,まわさないで,まわせ,まわしてもいです（か）,まわさないと（いけない）,まわしたことがある？（ます（か））,まわしてきて
持ちます,segurar,to hold,もちます,もち,（１）,もつ,もたない,もって,もった,もと,もたせます,（FORMA - ない）せます,もて,もたないで,もてば,もってもいです（か）,もたないと（いけない）,もったことがある？（ます（か））,もってきて
持って行きます,levar (algo),to take (something),もっていきます,もっていき,（１）,もっていく,もっていかない,もっていって,もっていった,もっていこ,もっていかせます,（FORMA - ない）せます,もっていけ,もっていかないで,もっていけばば,もっていってもいです（か）,もっていかないと（いけない）,もっていったことがある？（ます（か））,もっていってきて
もらいます,receber,to receive,もらいます,もらい,（１）,もらう,もらわない,もらって,もらった,もらお,もらわせます,（FORMA - ない）せます,もらえ,もらわないで,もらえば,もらってもいです（か）,もらわないと（いけない）,もらったことがある？（ます（か））,もらってきて
役に立ちます,ser útil,to be useful,やくにたちます,やくにたち,（１）,やくにたつ,やくにたたない,やくにたって,やくにたった,やくにたと,やくにたたせます,（FORMA - ない）せます,やくにたて,やくにたたないで,やくにたてば,やくにたってもいです（か）,やくにたたないと（いけない）,やくにたったことがある？（ます（か））,やくにたってきて
休みます,descansar,to rest,やすみます,やすみ,（１）,やすむ,やすまない,やすんで,やすんだ,やすも,やすませます,（FORMA - ない）せます,やすめ,やすまないで,やすめば,やすんでもいです（か）,やすまないと（いけない）,やすんだことがある？（ます（か））,やすんできて
休みます　「かいしゃを～」,tirar folga (do trabalho),to take a day off (from work),やすみます,やすみ,（１）,やすむ,やすまない,やすんで,やすんだ,やすも,やすませます,（FORMA - ない）せます,やすめ,やすまないで,やすめば,やすんでもいです（か）,やすまないと（いけない）,やすんだことがある？（ます（か））,やすんできて
呼びます,chamar,to call,よびます,よび,（１）,よぶ,よばない,よんで,よんだ,よぼ,よばせます,（FORMA - ない）せます,よべ,よばないで,よべば,よんでもいです（か）,よばないと（いけない）,よんだことがある？（ます（か））,よんできて
読みます,ler,to read,よみます,よみ,（１）,よむ,よまない,よんで,よんだ,よも,よませます,（FORMA - ない）せます,よめ,よまないで,よめば,よんでもいです（か）,よまないと（いけない）,よんだことがある？（ます（か））,よんできて
わかります,entender,to understand,わかります,わかり,（１）,わかる,わからない,わかって,わかった,わかろ,わからせます,（FORMA - ない）せます,わかれ,わからないで,わかれば,わかってもいです（か）,わからないと（いけない）,わかったことがある？（ます（か））,わかってきて
渡ります　「はしを」,atravessar (ponte),to cross (a bridge),わたります,わたり,（１）,わたる,わたらない,わたって,わたった,わたろ,わたらせます,（FORMA - ない）せます,わたれ,わたらないで,わたれば,わたってもいです（か）,わたらないと（いけない）,わたったことがある？（ます（か））,わたってきて
開けます,abrir,to open,あけます,あけ,（２）,あける,あけない,あけて,あけた,あけよう,あけさせます,（FORMA-DIC）させます,あけろ,あけないで,あければ,あけてもいです（か）,あけないと（いけない）,あけたことがある？（ます（か））,あけてきて
あげます,dar,to give,あげます,あげ,（２）,あげる,あげない,あげて,あげた,あげよう,あげさせます,（FORMA-DIC）させます,あげろ,あげないで,あげれば,あげてもいです（か）,あげないと（いけない）,あげたことがある？（ます（か））,あげてきて
集めて,reunir,to gather,あつめます,あつめ,（２）,あつめる,あつめない,あつめて,あつめた,あつめよう,あつめさせます,（FORMA-DIC）させます,あつめろ,あつめないで,あつめれば,あつめてもいです（か）,あつめないと（いけない）,あつめたことがある？（ます（か））,あつめてきて
浴びます　「シャワーを～」,tomar banho (chuveiro),to take a shower,あびます,あび,（２）,あびる,あびない,あびて,あびた,あびよう,あびさせます,（FORMA-DIC）させます,あびろ,あびないで,あべれば,あびてもいです（か）,あびないと（いけない）,あびたことがある？（ます（か））,あびてきて
います,existir (pessoas),to exist (people),います,い,（２）,いる,いない,いて,いた,いよう,いさせます,（FORMA-DIC）させます,いろ,いないで,いれれば,いてもいです（か）,いないと（いけない）,いたことがある？（ます（か））,いてきて
います　「こどもが～」,existir (crianças),to exist (children),います,い,（２）,いる,いない,いて,いた,いよう,いさせます,（FORMA-DIC）させます,いろ,いないで,いれれば,いてもいです（か）,いないと（いけない）,いたことがある？（ます（か））,いてきて
います　「にほんに～」,estar (no Japão),to be in Japan,います,い,（２）,いる,いない,いて,いた,いよう,いさせます,（FORMA-DIC）させます,いろ,いないで,いれれば,いてもいです（か）,いないと（いけない）,いたことがある？（ます（か））,いてきて
入れます,colocar,to put in,いれます,いれ,（２）,いれる,いれない,いれて,いれた,いれよう,いれさせます,（FORMA-DIC）させます,いれろ,いれないで,いれれば,いれてもいです（か）,いれないと（いけない）,いれたことがある？（ます（か））,いれてきて
生まれます,nascer,to be born,うまれます,うまれ,（２）,うまれる,うまれない,うまれて,うまれた,うまれよう,うまれさせます,（FORMA-DIC）させます,うまれろ,うまれないで,うまれれば,うまれてもいです（か）,うまれないと（いけない）,うまれたことがある？（ます（か））,うまれてきて
起きます,acordar,to wake up,おきます,おき,（２）,おきる,おきない,おきて,おきた,おきよう,おきさせます,（FORMA-DIC）させます,おきろ,おきないで,おければ,おきてもいです（か）,おきないと（いけない）,おきたことがある？（ます（か））,おきてきて
教えます,ensinar,to teach,おしえます,おしえ,（２）,おしえる,おしえない,おしえて,おしえた,おしえよう,おしえさせます,（FORMA-DIC）させます,おしえろ,おしえないで,おしえれば,おしえてもいです（か）,おしえないと（いけない）,おしえたことがある？（ます（か））,おしえてきて
教えます　「ぢゃうしょを～」,ensinar (endereço),to teach (address),おしえます,おしえ,（２）,おしえる,おしえない,おしえて,おしえた,おしえよう,おしえさせます,（FORMA-DIC）させます,おしえろ,おしえないで,おしえれば,おしえてもいです（か）,おしえないと（いけない）,おしえたことがある？（ます（か））,おしえてきて
覚えます,memorizar,to memorize,おぼえます,おぼえ,（２）,おぼえる,おぼえない,おぼえて,おぼえた,おぼえよう,おぼえさせます,（FORMA-DIC）させます,おぼえろ,おぼえないで,おぼえれば,おぼえてもいです（か）,おぼえないと（いけない）,おぼえたことがある？（ます（か））,おぼえてきて
降ります　「でんしゃを～」,descer (do trem),to get off (train),おります,おり,（２）,おりる,おりない,おりて,おりた,おりよう,おりさせます,（FORMA-DIC）させます,おりろ,おりないで,おれれば,おりてもいです（か）,おりないと（いけない）,おりたことがある？（ます（か））,おりてきて
換えます,trocar,to exchange,かえます,かえ,（２）,かえる,かえない,かえて,かえた,かえよう,かえさせます,（FORMA-DIC）させます,かえろ,かえないで,かえれば,かえてもいです（か）,かえないと（いけない）,かえたことがある？（ます（か））,かえてきて
変えます,mudar,to change,かえます,かえ,（２）,かえる,かえない,かえて,かえた,かえよう,かえさせます,（FORMA-DIC）させます,かえろ,かえないで,かえれば,かえてもいです（か）,かえないと（いけない）,かえたことがある？（ます（か））,かえてきて
かけます　「でんわを～」,telefonar,to make a phone call,かえます,かえ,（２）,かえる,かえない,かえて,かえた,かえよう,かえさせます,（FORMA-DIC）させます,かえろ,かえないで,かえれば,かえてもいです（か）,かえないと（いけない）,かえたことがある？（ます（か））,かえてきて
かけます　「めがねを～」,usar (óculos),to wear (glasses),かけます,かけ,（２）,かける,かけない,かけて,かけた,かけよう,かけさせます,（FORMA-DIC）させます,かけろ,かけないで,かければ,かけてもいです（か）,かけないと（いけない）,かけたことがある？（ます（か））,かけてきて
借ります,emprestar (pegar emprestado),to borrow,かります,かり,（２）,かりる,かりない,かりて,かりた,かりよう,かりさせます,（FORMA-DIC）させます,かりろ,かりないで,かれれば,かりてもいです（か）,かりないと（いけない）,かりたことがある？（ます（か））,かりてきて
考えます,pensar,to think,かんがえます,かんがえ,（２）,かんがえる,かんがえない,かんがえて,かんがえた,かんがえよう,かんがえさせます,（FORMA-DIC）させます,かんがえろ,かんがえないで,かんがえれば,かんがえてもいです（か）,かんがえないと（いけない）,かんがえたことがある？（ます（か））,かんがえてきて
着ます,vestir (roupa),to wear (clothes),きます,き,（２）,きる,きない,きて,きた,こよう,きさせます,（FORMA-DIC）させます,きろ,きないで,こえれば,きてもいです（か）,きないと（いけない）,きたことがある？（ます（か））,きてきて
気をつけます,ter cuidado,to be careful,きをつけます,きをつけ,（２）,きをつける,きをつけない,きをつけて,きをつけた,きをつけよう,きをつけさせます,（FORMA-DIC）させます,きをつけろ,きをつけないで,きをつければ,きをつけてもいです（か）,きをつけないと（いけない）,きをつけたことがある？（ます（か））,きをつけてきて
